Gene1	Gene2
CDKN1A	SOX10
CDKN1A	SRF
CDKN1A	SSBP4
CDKN1A	STAT3
CDKN1A	TERF2IP
CDKN1A	TEX11
CDKN1A	TFPT
CDKN1A	TK1
CDKN1A	TP53
CDKN1A	TSC22D3
CDKN1A	TSG101
CDKN1A	UBC
CDKN1A	UBE2E2
CDKN1A	VDR
CDKN1A	WDR45L
CDKN1A	XPA
CDKN1A	ZNF263
CDKN1B	CKS1B
CDKN1B	COPS5
CDKN1B	CUL4A
CDKN1B	DDB1
CDKN1B	E2F1
CDKN1B	GRB2
CDKN1B	NUP50
CDKN1B	RCHY1
CDKN1B	RNF123
CDKN1B	SKP2
CDKN1B	SPDYA
CDKN1B	TRAF2
CDKN1B	TRIM21
CDKN1B	TSC1
CDKN1B	TSC2
CDKN1B	UBAC1
CDKN1B	UBB
CDKN1B	UBC
CDKN1B	UBE2B
CDKN1B	UBE2D2
CDKN1B	UBE3A
CDKN1B	UCHL1
CDKN1B	XPO1
CDKN1B	YWHAQ
CDKN1C	CTCF
CDKN1C	CUL1
CDKN1C	LIMK1
CDKN1C	MYBL2
CDKN1C	MYOD1
CDKN1C	PCNA
CDKN1C	RAD21
CDKN1C	RBL1
CDKN1C	SKP2
CDKN1C	UBC
CDKN2A	CTBP2
CDKN2A	DAXX
CDKN2A	E4F1
CDKN2A	EEF2
CDKN2A	EPHA3
CDKN2A	FKBP2
CDKN2A	GAPDH
CDKN2A	HNRNPA2B1
CDKN2A	HNRNPC
CDKN2A	HSP90AA1
CDKN2A	HSP90AB1
CDKN2A	HSPA4
CDKN2A	HSPA8
CDKN2A	HSPA9
CDKN2A	HUWE1
CDKN2A	ING1
CDKN2A	ING4
CDKN2AIPNL	CTCF
CDKN2AIPNL	SP2
CDKN2A	KAT5
CDKN2A	MAPKSP1
CDKN2A	MCM6
CDKN2A	MDM2
CDKN2A	MDM4
CDKN2A	MMRN1
CDKN2A	MTR
CDKN2A	MYL12A
CDKN2A	NPM1
CDKN2A	PCNA
CDKN2A	PDCD6
CDKN2A	PIAS2
CDKN2A	PLEKHA8
CDKN2A	PPP1R9B
CDKN2A	PSMC3
CDKN2A	PSME3
CDKN2A	RIN2
CDKN2A	RPL11
CDKN2A	RUVBL2
CDKN2A	SAP25
CDKN2A	SERTAD1
CDKN2A	SMARCA4
CDKN2A	SNRPA
CDKN2A	SNRPB
CDKN2A	SUZ12
CDKN2A	TCF12
CDKN2A	TOP1
CDKN2A	TP53
CDKN2A	TRIP12
CDKN2A	TUBA1A
CDKN2A	TUBA1C
CDKN2A	TUBB
CDKN2A	TUBB2C
CDKN2A	UBC
CDKN2A	UBE2A
CDKN2A	UBE4B
CDKN2A	USP26
CDKN2A	YY1
CDKN2B	IKBKAP
CDKN2B	KIAA1377
CDKN2B	MAGEA11
CDKN2C	COPS6
CDKN2C	CTBP2
CDKN2C	DRAP1
CDKN2C	E2F1
CDKN2C	GDF9
CDKN2C	NHP2L1
CDKN2C	QPCTL
CDKN2C	SUZ12
CDKN2C	TLE1
CDKN2C	TP53
CDKN2C	UNC119
CDKN2D	E2F4
CDKN2D	MAX
CDKN2D	MYC
CDKN2D	RFX5
CDKN2D	TBC1D17
CDKN3	MS4A3
CDKN3	NCOA3
CDKN3	NFYB
CDNA	PTK2
CDNF	RFX5
CDO1	CTH
CDO1	GAD1
CDO1	GAD2
CDO1	GOT1
CDO1	GOT2
CDO1	SHH
CDO1	VHL
CDO1	ZNF263
CDON	CTNNB1
CDR2	FOS
CDR2	PBX3
CDR2	PKN1
CDS1	CRLS1
CDS1	DGKB
CDS1	DGKD
CDS1	DGKE
CDS1	DGKG
CDS1	DGKH
CDS1	DGKI
CDS1	DGKZ
CDS1	LCLAT1
CDS1	PLD1
CDS1	PLD2
CDS2	CEBPB
CDS2	CTCF
CDS2	RAD21
CDSN	KLK7
CDSN	UCHL5
CDT1	CUL1
CDT1	CUL4A
CDT1	DDB1
CDT1	DDB2
CDT1	E2F1
CDT1	E2F4
CDT1	EP300
CDT1	FZR1
CDT1	GMNN
CDT1	GRWD1
CDT1	HDAC11
CDT1	KAT2B
CDT1	KPNA2
CDT1	KPNB1
CDT1	MCM4
CDT1	MCM6
CDT1	MCM7
CDT1	MYST2
CDT1	NPM1
CDT1	PCNA
CDT1	SKP2
CDT1	SMARCA5
CDT1	TOP1
CDT1	TOP2A
CDT1	TP63
CDT1	TP73
CDT1	UBC
CDX2	CREBBP
CDX2	CTBP2
CDX2	EP300
CDX2	HNF1A
CDX2	KDM5B
CDX2	NANOG
CDX2	PAX6
CDX2	SMARCA2
CDX2	SMARCA4
CDX2	SMARCB1
CDX2	SMARCD1
CDX2	SUZ12
CDX2	TCF12
CDYL	CTBP1
CDYL	EHMT2
CDYL	HDAC1
CDYL	HDAC2
CDYL	HIST1H3A
CDYL	REST
CDYL	SETDB1
CDYL	SMARCA4
CDYL	SMARCB1
CDYL	TTK
CDYL	WIZ
CDYL	ZNF644
CEACAM16	NR3C1
CEACAM1	CEACAM8
CEACAM1	CTCF
CEACAM1	PTPN11
CEACAM1	PXN
CEACAM1	RAD21
CEACAM1	SHC1
CEACAM21	SPI1
CEACAM5	CTCF
CEACAM5	EWSR1
CEBPA	CEBPB
CEBPA	CHD1
CEBPA	CTNNB1
CEBPA	EDF1
CEBPA	EP300
CEBPA	ESR1
CEBPA	GRIN3A
CEBPA	HDAC1
CEBPA	HDAC2
CEBPA	JUN
CEBPA	MAF
CEBPA	MAPK8
CEBPA	MAX
CEBPA	MRTO4
CEBPA	MSX2
CEBPA	MYC
CEBPA	NCOA6
CEBPA	NFATC4
CEBPA	NR3C1
CEBPA	RARB
CEBPA	RPGRIP1
CEBPA	SLC25A11
CEBPA	SMAD3
CEBPA	SMAD4
CEBPA	SMARCA2
CEBPA	SMARCA4
CEBPA	SPI1
CEBPA	SPTBN1
CEBPA	TCF7L2
CEBPA	UBC
CEBPA	VDR
CEBPA	ZEB2
CEBPA	ZNF45
CEBPB	CEBPD
CEBPB	CEBPG
CEBPB	CES1
CEBPB	CHAC1
CEBPB	CHCHD5
CEBPB	CHMP4A
CEBPB	CHPT1
CEBPB	CISD1
CEBPB	CLGN
CEBPB	CLPB
CEBPB	COQ10B
CEBPB	COQ5
CEBPB	COTL1
CEBPB	COX18
CEBPB	CREB1
CEBPB	CREBBP
CEBPB	CSF3R
CEBPB	CSTF1
CEBPB	CTCF
CEBPB	CUEDC1
CEBPB	CUL2
CEBPB	CXCL2
CEBPB	DAGLB
CEBPB	DBI
CEBPB	DCAF11
CEBPB	DCUN1D3
CEBPB	DDIT3
CEBPB	DDIT4
CEBPB	DDRGK1
CEBPB	DDX27
CEBPB	DEFB1
CEBPB	DLX1
CEBPB	DNASE1L3
CEBPB	DRAM1
CEBPB	DTWD1
CEBPB	DUSP1
CEBPB	E2F2
CEBPB	E4F1
CEBPB	ECE2
CEBPB	EGFR
CEBPB	EGR1
CEBPB	EHMT2
CEBPB	EID1
CEBPB	EIF1
CEBPB	EIF2S2
CEBPB	EP300
CEBPB	ERI1
CEBPB	ESCO1
CEBPB	ESR1
CEBPB	ETF1
CEBPB	ETFDH
CEBPB	EXOC6B
CEBPB	FADS1
CEBPB	FAM102A
CEBPB	FAM129B
CEBPB	FAM83A
CEBPB	FBXO31
CEBPB	FLJ42289
CEBPB	FLOT1
CEBPB	FNBP4
CEBPB	FOXO1
CEBPB	GMCL1
CEBPB	GOLT1A
CEBPB	GOT1
CEBPB	GPR153
CEBPB	GSK3B
CEBPB	GZF1
CEBPB	HDAC1
CEBPB	HDAC11
CEBPB	HDAC2
CEBPB	HDAC9
CEBPB	HDLBP
CEBPB	HEATR5B
CEBPB	HERPUD1
CEBPB	HIPK3
CEBPB	HIST1H2AG
CEBPB	HIST1H2BJ
CEBPB	HIST1H4I
CEBPB	HMGA1
CEBPB	HMOX1
CEBPB	HNRNPF
CEBPB	HNRNPH1
CEBPB	HNRNPK
CEBPB	HSD17B11
CEBPB	HSF1
CEBPB	HSPA9
CEBPB	IARS
CEBPB	ID1
CEBPB	IFT122
CEBPB	IL1RAP
CEBPB	IL6R
CEBPB	INHBE
CEBPB	ISG20
CEBPB	JUND
CEBPB	KAT2A
CEBPB	KAT2B
CEBPB	KIAA0895L
CEBPB	KLF5
CEBPB	KLHL12
CEBPB	KLHL30
CEBPB	LCMT1
CEBPB	LCN2
CEBPB	LIN37
CEBPB	LOC100270746
CEBPB	LOC55908
CEBPB	LTBR
CEBPB	LYRM1
CEBPB	LZTFL1
CEBPB	MAL2
CEBPB	MALAT1
CEBPB	MAP1LC3B
CEBPB	MAPK1
CEBPB	MBD4
CEBPB	MBNL1
CEBPB	MDH1
CEBPB	MDM4
CEBPB	MDP1
CEBPB	MED23
CEBPB	MED26
CEBPB	MEIS1
CEBPB	MLLT11
CEBPB	MMP19
CEBPB	MON1A
CEBPB	MRPS15
CEBPB	MRPS30
CEBPB	MST1P2
CEBPB	MYB
CEBPB	MYC
CEBPB	N6AMT2
CEBPB	NARS
CEBPB	NBR2
CEBPB	NCOA5
CEBPB	NCOR1
CEBPB	NCOR2
CEBPB	NDRG1
CEBPB	NDUFS4
CEBPB	NDUFS7
CEBPB	NEAT1
CEBPB	NFE2L2
CEBPB	NFIL3
CEBPB	NFKB1
CEBPB	NFKBIA
CEBPB	NFX1
CEBPB	NISCH
CEBPB	NOL11
CEBPB	NOLC1
CEBPB	NR1H3
CEBPB	NR3C1
CEBPB	NRF1
CEBPB	NUP35
CEBPB	NUP98
CEBPB	OLR1
CEBPB	OPN3
CEBPB	ORC1L
CEBPB	OSTBETA
CEBPB	PAFAH2
CEBPB	PARD6A
CEBPB	PARD6B
CEBPB	PCF11
CEBPB	PCK2
CEBPB	PCNA
CEBPB	PDAP1
CEBPB	PGAP2
CEBPB	PGC
CEBPB	PHLDB2
CEBPB	PI3
CEBPB	PLD1
CEBPB	PLEKHH3
CEBPB	PLXNB1
CEBPB	PNN
CEBPB	POC1A
CEBPB	POLR3E
CEBPB	PPARG
CEBPB	PPP1R15B
CEBPB	PREPL
CEBPB	PRMT5
CEBPB	PRPF38A
CEBPB	PRR5L
CEBPB	PSMB3
CEBPB	PSMB5
CEBPB	PTGS2
CEBPB	PTP4A1
CEBPB	PTPN12
CEBPB	PUS10
CEBPB	PUSL1
CEBPB	PYCR1
CEBPB	RAB37
CEBPB	RAD21
CEBPB	RAD23B
CEBPB	RARB
CEBPB	RB1
CEBPB	RBM39
CEBPB	RBM45
CEBPB	RBP4
CEBPB	RC3H2
CEBPB	RELA
CEBPB	RFFL
CEBPB	RNASE4
CEBPB	RNF149
CEBPB	ROCK1P1
CEBPB	RORA
CEBPB	RPIA
CEBPB	RPL13A
CEBPB	RPL13AP5
CEBPB	RPL24
CEBPB	RPS3A
CEBPB	RRBP1
CEBPB	RUNX1
CEBPB	S100PBP
CEBPB	SACM1L
CEBPB	SARS
CEBPB	SCLT1
CEBPB	SEC23A
CEBPB	SEPT2
CEBPB	SERPINB8
CEBPB	SERPIND1
CEBPB	SESN2
CEBPB	SETD3
CEBPB	SFRS14
CEBPB	SGPP1
CEBPB	SHF
CEBPB	SLC25A25
CEBPB	SLC2A4RG
CEBPB	SLC35D1
CEBPB	SLC36A4
CEBPB	SLC38A1
CEBPB	SLC45A4
CEBPB	SLC7A11
CEBPB	SLPI
CEBPB	SMAD3
CEBPB	SMAD4
CEBPB	SMAD6
CEBPB	SMARCA2
CEBPB	SMARCA4
CEBPB	SMARCC1
CEBPB	SMC3
CEBPB	SP1
CEBPB	SP3
CEBPB	SPI1
CEBPB	SPRY4
CEBPB	SRF
CEBPB	SRI
CEBPB	STAT3
CEBPB	SUMO1
CEBPB	TBL1X
CEBPB	TDRG1
CEBPB	TF
CEBPB	TIGD2
CEBPB	TIMM13
CEBPB	TIMM44
CEBPB	TMEM55B
CEBPB	TMEM9
CEBPB	TOP1
CEBPB	TPD52L2
CEBPB	TRAPPC6A
CEBPB	TRIB1
CEBPB	TRIB3
CEBPB	TRIM28
CEBPB	TXNDC11
CEBPB	UBB
CEBPB	UBC
CEBPB	UBE2F
CEBPB	UBQLN1
CEBPB	UBR4
CEBPB	USP36
CEBPB	VNN3
CEBPB	VPS45
CEBPB	WBP2
CEBPB	WNT2
CEBPB	XRCC5
CEBPB	XRN2
CEBPB	ZBTB7A
CEBPB	ZC3H12C
CEBPB	ZCCHC3
CEBPB	ZNF280A
CEBPB	ZNF595
CEBPB	ZNF641
CEBPB	ZNF718
CEBPB	ZNHIT2
CEBPD	CREBBP
CEBPD	FANCD2
CEBPD	HDAC1
CEBPD	HDAC3
CEBPD	HDAC4
CEBPD	IPO4
CEBPD	PIAS4
CEBPD	PIM3
CEBPD	RELA
CEBPD	SMAD3
CEBPD	SMAD4
CEBPD	SPAG5
CEBPD	TRIM26
CEBPD	UBC
CEBPD	UBR5
CEBPD	XPO1
CEBPE	COBRA1
CEBPE	CTCF
CEBPE	DENND4A
CEBPE	GTF2A1L
CEBPE	KDM2B
CEBPE	MED16
CEBPE	MYB
CEBPE	POU2F1
CEBPE	RAD21
CEBPE	TAF5L
CEBPE	TAL1
CEBPE	TBX2
CEBPE	TCEB2
CEBPE	ZFP2
CEBPE	ZNF384
CEBPG	DDIT3
CEBPG	GRINL1A
CEBPG	MLLT6
CEBPG	PAX5
CEBPG	PBX3
CEBPG	UBC
CEBPZ	LZTR1
CEBPZ	NFYB
CEBPZ	PCBD1
CEBPZ	RXRG
CEBPZ	STAT6
CEBPZ	TP53
CEBPZ	TP73
CEBPZ	YES1
CEBPZ	ZBTB7B
CECR1	SRRM2
CECR2	LRPPRC
CECR4	E2F6
CECR5	E2F6
CECR5	ICT1
CECR6	JUND
CECR6	KDM5B
CECR6	REST
CELA1	RAD21
CEL	CHPT1
CEL	CYP11A1
CEL	CYP4A11
CEL	CYP4A22
CEL	CYP7A1
CEL	DGAT1
CEL	DGAT2
CEL	DGKB
CEL	DGKD
CEL	DGKE
CEL	DGKG
CEL	DGKH
CEL	DGKI
CEL	DGKZ
CELF1	CTCF
CELF1	FUBP1
CELF1	PPBP
CELF1	TFAP2C
CELF1	TOM1L1
CELF1	USP10
CELF3	CTCF
CELF3	REST
CELF3	SOBP
CELF3	TLE1
CELF4	LYST
CELF4	REST
CELF6	REST
CEL	LIPA
CEL	LIPC
CEL	LIPF
CEL	LIPG
CEL	MGLL
CEL	PLCB1
CEL	PLCB2
CEL	PLCB3
CEL	PLCB4
CEL	PLCD3
CEL	PLCD4
CEL	PLCE1
CEL	PLCG1
CEL	PLCG2
CEL	PLCZ1
CEL	PNLIP
CEL	PNLIPRP1
CEL	PNPLA3
CEL	PPAP2A
CEL	PPAP2C
CEL	SOAT1
CEL	SOAT2
CELSR1	PSAP
CELSR1	RYK
CELSR2	RYK
CELSR3	EP300
CELSR3	REST
CELSR3	RYK
CELSR3	SGSM2
CELSR3	SIN3A
CEND1	EGFR
CENPA	CENPB
CENPA	CENPH
CENPA	CENPI
CENPA	CENPK
CENPA	CENPM
CENPA	CENPN
CENPA	CENPO
CENPA	CENPT
CENPA	DDB1
CENPA	E2F4
CENPA	FBL
CENPA	FOS
CENPA	H2AFY
CENPA	H3F3A
CENPA	HIST1H1C
CENPA	HIST1H2AD
CENPA	HIST1H3C
CENPA	HIST1H4A
CENPA	HIST2H2BE
CENPA	HJURP
CENPA	HPC3
CENPA	HSF1
CENPA	HSPA8
CENPA	IRF3
CENPA	KIAA1429
CENPA	KIF23
CENPA	LOC284412
CENPA	MARK2
CENPA	NFYA
CENPA	NFYB
CENPA	NPM1
CENPA	PARP1
CENPA	PBX3
CENPA	PHIP
CENPA	PRKACA
CENPA	RING1
CENPA	RNF2
CENPA	RPA1
CENPA	RSF1
CENPA	RUVBL1
CENPA	SHCBP1
CENPA	SMARCA5
CENPA	SP1
CENPA	SP2
CENPA	SRRT
CENPA	WTAP
CENPA	ZC3H13
CENPA	ZFP91
CENPB	CTCF
CENPBD1	NRF1
CENPB	DYRK4
CENPB	HAND2
CENPB	PARP1
CENPB	RAD21
CENPB	TAF1D
CENPC1	DAXX
CENPC1	HNRNPA1
CENPC1	MDC1
CENPC1	MIS12
CENPC1	PRKCZ
CENPC1	PTEN
CENPC1	RPAP1
CENPC1	UBTF
CENPC1	ZWINT
CENPE	CUL1
CENPE	DNAJB1
CENPE	EP300
CENPE	FANCA
CENPE	MAFK
CENPE	MAPK1
CENPE	NUF2
CENPE	PRC1
CENPE	SEPT7
CENPE	TRAF4
CENPE	UBC
CENPF	MAX
CENPF	NPM1
CENPF	TERF1
CENPF	TERF2
CENPF	TOP3B
CENPF	UBC
CENPH	KIF2C
CENPH	PMVK
CENPJ	EPB41
CENPJ	LYST
CENPJ	MEF2A
CENPJ	TUBG1
CENPJ	YWHAG
CENPJ	YWHAZ
CENPJ	ZNF143
CENPK	NFYA
CENPK	NFYB
CENPK	PCBD2
CENPK	SOX6
CENPL	E2F1
CENPL	GATA1
CENPL	MYC
CENPL	THAP1
CENPL	YY1
CENPM	EBF1
CENPM	MAX
CENPN	ZNF263
CENPO	CEP170L
CENPO	E2F4
CENPO	NECAB2
CENPO	YY1
CENPO	ZNF143
CENPP	MAX
CENPP	MYC
CENPP	USF1
CENPP	USF2
CENPQ	ELF1
CENPT	DHX29
CENPT	RPS6KA1
CENPT	TCEA2
CENPV	LYN
CENPW	E2F4
CENTB2	CHEK1
CENTB2	CLK1
CENTB2	CLK4
CENTB2	CSNK1A1L
CENTB2	CSNK1D
CENTB2	CSNK1G1
CENTB2	CSNK1G2
CENTB2	DYRK1B
CENTB2	DYRK2
CENTB2	DYRK3
CENTB2	DYRK4
CENTB2	EEF2K
CENTB2	EPHB3
CENTB2	FASTK
CENTB2	FASTKD5
CENTB2	FGFR2
CENTB2	FGR
CENTB2	GAK
CENTB2	HIPK1
CENTB2	HIPK4
CENTB2	MAP4K2
CENTB2	MAPKAPK5
CENTB2	MGC16169
CENTB2	NEK10
CENTB2	NEK2
CENTB2	NEK3
CENTB2	NEK6
CENTB2	NEK8
CENTB2	NPR2
CENTB2	PAK4
CENTB2	PAK6
CENTB2	PDGFRA
CENTB2	PDK4
CENTB2	PDPK1
CENTB2	PIK3R4
CENTB2	PRKAA2
CENTB2	PRKACA
CENTB2	PRKACB
CENTB2	PRKACG
CENTB2	PRKCB1
CENTB2	PRKCZ
CENTB2	PRKX
CENTB2	PRKY
CENTB2	PSKH1
CENTB2	PTK2B
CENTB2	RET
CENTB2	RIOK1
CENTB2	RPS6KA4
CENTB2	RPS6KB1
CENTB2	SCYL2
CENTB2	SGK3
CENTB2	SNF1LK
CENTB2	STK16
CENTB2	STK17A
CENTB2	STK24
CENTB2	SYK
CENTB2	TBK1
CENTB2	TNNI3K
CENTB2	TTK
CENTB2	TTN
CENTB2	TYK2
CENTB2	TYRO3
CENTB2	WEE1
CENTB2	XRCC6BP1
CENTB2	YES1
CENTB2	ZAP70
CENTD2	CSNK1G1
CENTD2	DYRK2
CENTD2	DYRK4
CENTD2	EPHB3
CENTD2	FASTK
CENTD2	FGR
CENTD2	GAK
CENTD2	HIPK4
CENTD2	MAP3K7IP1
CENTD2	MAP4K5
CENTD2	MAPKAPK5
CENTD2	MGC42105
CENTD2	NEK3
CENTD2	PAK4
CENTD2	PAK6
CENTD2	PRKACA
CENTD2	PRKACG
CENTD2	PRKCZ
CENTD2	PRKX
CENTD2	PTK2B
CENTD2	PTK6
CENTD2	RPS6KB1
CENTD2	STK16
CENTD2	STK3
CENTD2	SYK
CENTD2	TBK1
CENTD2	TNNI3K
CENTD2	TTK
CENTD2	TYK2
CENTD2	TYRO3
CENTD2	WEE1
CEP110	MAP3K4
CEP110	MAPK6
CEP110	TNFRSF1A
CEP110	UBC
CEP135	CTCF
CEP135	WDR8
CEP152	E2F4
CEP152	NFYA
CEP152	NFYB
CEP164	NFYB
CEP164	UBC
CEP170L	LMO3
CEP170L	RALYL
CEP170L	RUNX1T1
CEP170	NRF1
CEP170	SIX5
CEP170	YWHAQ
CEP170	ZNF143
CEP250	CTCF
CEP250	FGFR2
CEP250	FGR
CEP250	KAT2B
CEP250	NEK2
CEP250	NRF1
CEP250	PLEKHA5
CEP250	RAD21
CEP250	STK16
CEP250	TTK
CEP250	TYK2
CEP250	YWHAQ
CEP290	ETS1
CEP290	MAPK10
CEP290	SIX5
CEP290	ZNF143
CEP350	CHD2
CEP350	FGFR1OP
CEP350	PAX5
CEP350	PLEKHA5
CEP350	PPP2CA
CEP350	PPP2R1A
CEP350	YY1
CEP55	E2F4
CEP55	POM121
CEP55	TSG101
CEP57	E2F4
CEP57	EGR1
CEP63	DISC1
CEP63	MBIP
CEP63	TCF4
CEP63	USHBP1
CEP68	TAF1
CEP70	KIAA1267
CEP70	MCM10
CEP70	MYST2
CEP70	NKAP
CEP70	NRIP1
CEP70	RCOR3
CEP70	TCEB3B
CEP70	TRIM29
CEP70	UTP14A
CEP70	ZBTB16
CEP70	ZBTB8A
CEP70	ZNF408
CEP70	ZNF426
CEP72	IGHM
CEP72	KIAA0408
CEP72	LNX1
CEP72	MCM10
CEP72	MYC
CEP72	PCM1
CEP72	SPATA2
CEP72	ZBTB16
CEP72	ZNF417
CEP76	DCTD
CEP76	GFAP
CEP76	KIAA1279
CEP76	MAGEA11
CEP76	PAICS
CEP76	SALL2
CEP78	SQSTM1
CEP97	PLK1
CEP97	ZNF143
CEPT1	MYC
CERCAM	CTCF
CERCAM	CTCFL
CERCAM	ZBTB7A
CERK	HSPB8
CERK	IOH58585
CERK	MAPK7
CERK	MTA1
CERK	SGMS1
CERK	SGMS2
CERK	SOX10
CERK	TBK1
CERK	TRIB3
CERK	UGCG
CERK	UGT8
CES1	DDHD1
CES1	GUSB
CES1	HNF4A
CES1	PLA1A
CES1	PPME1
CES1	PRDX6
CES3	CTCF
CES5A	DDHD1
CES5A	PLA1A
CES5A	PPME1
CES5A	PRDX6
CETN1	USP49
CETN2	SFI1
CETN2	USP44
CETN2	USP49
CETN2	XPC
CETN3	IKBKG
CETN3	PDE6D
CETN3	UNC119
CETN3	USP49
CETP	EWSR1
CFB	CFP
CFB	FOXA1
CFB	FOXA2
CFB	HNF4A
CFB	HNF4G
CFB	SP1
CFB	STAT3
CFDP1	EWSR1
CFDP1	NRF1
CFDP1	TFAP2C
CFD	SERPINF2
CFH	CRP
CFHR1	LBP
CFH	SELL
CFL1	EGFR
CFL1	ELK4
CFL1	ETS1
CFL1	H2AFX
CFL1	HSPH1
CFL1	LIMK1
CFL1	LIMK2
CFL1	MYCBP
CFL1	POU2F2
CFL1	ROCK1
CFL1	SIX5
CFL1	SRC
CFL1	SRF
CFL1	TAGLN
CFL1	TPI1
CFL1	TXNDC17
CFL1	UCHL5
CFL1	YWHAQ
CFL1	ZNF143
CFL2	EGFR
CFL2	NEK10
CFL2	NEK3
CFL2	NPR2
CFL2	PRKCB1
CFL2	SCYL2
CFL2	TBK1
CFL2	TNNI3K
CFL2	TYK2
CFL2	YES1
CFL2	ZNF274
CFLAR	DEDD
CFLAR	DEDD2
CFLAR	DOK2
CFLAR	EBF1
CFLAR	FADD
CFLAR	FAS
CFLAR	FOXA1
CFLAR	FOXA2
CFLAR	GATA1
CFLAR	GATA2
CFLAR	ITCH
CFLAR	MAP3K14
CFLAR	MEF2A
CFLAR	NFKB1
CFLAR	NOD1
CFLAR	NOL3
CFLAR	RAF1
CFLAR	RIPK1
CFLAR	RIPK2
CFLAR	SF3B3
CFLAR	TCF12
CFLAR	TNFRSF10A
CFLAR	TNFRSF10B
CFLAR	TP53
CFLAR	TRAF1
CFLAR	TRAF2
CFLAR	TRAF3
CFLAR	UBC
CFLP1	EBF1
CFP	MTOR
CFP	REST
CFTR	CLCN3
CFTR	COMMD1
CFTR	DNAJA1
CFTR	DNAJB1
CFTR	DNAJC5
CFTR	EZR
CFTR	GOPC
CFTR	HDAC6
CFTR	HSP90AA1
CFTR	HSPA8
CFTR	JKAMP
CFTR	KCNJ1
CFTR	NEDD4
CFTR	PDZD3
CFTR	PDZK1
CFTR	PRKAA1
CFTR	PRKCE
CFTR	RNF5
CFTR	SLC4A8
CFTR	SLC9A3R1
CFTR	SLC9A3R2
CFTR	SNAP23
CFTR	STUB1
CFTR	STX1A
CFTR	UBC
CFTR	UBE3A
CFTR	USP10
CFTR	VCP
CGA	CGB
CGA	FSHB
CGA	LHCGR
CGA	PTN
CGB1	CTCF
CGB1	TCF4
CGB2	POLR3A
CGB2	TBP
CGGBP1	FOS
CGGBP1	PBX3
CGGBP1	SP1
CGNL1	YWHAE
CGNL1	YWHAG
CGNL1	YWHAZ
CGN	SFN
CGN	TJP1
CGN	TJP2
CGN	YWHAB
CGN	YWHAG
CGREF1	MYC
CGRRF1	UBE2U
CHAC1	RHOXF2
CHAF1A	CHAF1B
CHAF1A	CHD2
CHAF1A	DDX41
CHAF1A	DMAP1
CHAF1A	EIF3C
CHAF1A	FOS
CHAF1A	GTF2I
CHAF1A	HIST1H3A
CHAF1A	HIST1H3E
CHAF1A	HMGB2
CHAF1A	LZTR1
CHAF1A	MBD1
CHAF1A	NFYA
CHAF1A	NFYB
CHAF1A	NONO
CHAF1A	PAF1
CHAF1A	PCBD2
CHAF1A	PCNA
CHAF1A	PRKDC
CHAF1A	PRPF31
CHAF1A	RBM3
CHAF1A	RBM9
CHAF1A	RPA1
CHAF1A	RPS3
CHAF1A	RPS9
CHAF1A	SET
CHAF1A	SETDB1
CHAF1A	SUMO1
CHAF1A	SUMO2
CHAF1A	SUMO3
CHAF1A	TCERG1
CHAF1A	USF1
CHAF1A	WRN
CHAF1A	XPC
CHAF1A	XRCC5
CHAF1A	XRCC6
CHAF1A	YWHAB
CHAF1A	YWHAE
CHAF1A	YWHAG
CHAF1A	YWHAQ
CHAF1A	YWHAZ
CHAF1A	ZBTB33
CHAF1B	FGR
CHAF1B	HIST1H3A
CHAF1B	HIST1H3E
CHAF1B	HIST3H3
CHAF1B	MAP3K11
CHAF1B	NEK3
CHAF1B	PACSIN1
CHAF1B	PAK4
CHAF1B	PRKACA
CHAF1B	SETDB1
CHAF1B	STK16
CHAF1B	STK17A
CHAF1B	SUMO2
CHAF1B	TBK1
CHAF1B	TTK
CHAT	CHKA
CHAT	PHOSPHO1
CHAT	REST
CHAT	SUZ12
CHCHD1	ICT1
CHCHD1	NR2C2
CHCHD2	GABPA
CHCHD2	PBX3
CHCHD2	SIRT1
CHCHD2	TAL1
CHCHD2	UBC
CHCHD3	E2F1
CHCHD3	KRTAP4-12
CHCHD3	UBC
CHCHD3	ZNF143
CHCHD4	CIAPIN1
CHCHD4	ETS1
CHCHD4	NRF1
CHCHD4	SIX5
CHCHD4	ZNF143
CHCHD5	ELF1
CHCHD5	THAP1
CHCHD5	YY1
CHCHD6	NFYA
CHCHD6	NFYB
CHCHD6	SP1
CHCHD6	UBC
CHCHD7	PBX3
CHCHD7	TAF1
CHCHD8	MYC
CHCHD8	TCF4
CHD1	HDAC1
CHD1	HIST1H3A
CHD1	HMGA1
CHD1L	CTCF
CHD1L	EIF4A1
CHD1L	EP300
CHD1L	H2AFX
CHD1L	H2AFZ
CHD1L	HIST1H2BB
CHD1L	HIST1H2BK
CHD1L	HIST2H2AA4
CHD1L	HIST3H2A
CHD1L	LOC644914
CHD1L	PARP1
CHD1L	PARP2
CHD1L	PRKDC
CHD1L	RAD21
CHD1L	RFC2
CHD1L	RPA1
CHD1L	RPA2
CHD1L	RPA3
CHD1L	SUPT16H
CHD1L	XRCC1
CHD1L	XRCC5
CHD1L	XRCC6
CHD1	MLLT1
CHD1	NCOR1
CHD1	SAFB
CHD1	SRSF3
CHD1	SSRP1
CHD2	CIAPIN1
CHD2	CNP
CHD2	COASY
CHD2	COPB2
CHD2	COQ9
CHD2	COX11
CHD2	CSDE1
