Gene1	Gene2
ABCF3	NRF1
ABCF3	SRRM2
ABCF3	TOE1
ABCG1	CEBPB
ABCG1	EP300
ABCG1	SPI1
ABCG5	ABCG8
ABHD10	H2AFX
ABHD10	NRF1
ABHD10	SQSTM1
ABHD11	EP300
ABHD11	ESR1
ABHD11	FOXA1
ABHD11	TCF12
ABHD12B	TCF4
ABHD14B	CTCF
ABHD2	IRF1
ABHD2	PBX3
ABHD2	SP1
ABHD2	SP2
ABHD4	ATF3
ABHD4	FOXA1
ABHD4	NRF1
ABHD4	SIN3A
ABHD4	SREBF1
ABHD5	CCNT2
ABHD5	NRF1
ABHD8	PBX3
ABI1	ABL1
ABI1	APBB1
ABI1	CACNA1A
ABI1	ENAH
ABI1	EPS8
ABI1	EPS8L1
ABI1	EPS8L2
ABI1	EPS8L3
ABI1	GAS7
ABI1	NCK1
ABI1	NCKAP1
ABI1	PRPF40A
ABI1	RYK
ABI1	SOS1
ABI1	TCERG1
ABI2	ABL1
ABI2	ACVR1
ABI2	ACVR1B
ABI2	ACY1
ABI2	ADAM19
ABI2	ADCK2
ABI2	AKAP13
ABI2	AKT3
ABI2	ALPK1
ABI2	ARAF
ABI2	AURKB
ABI2	BCKDK
ABI2	BCR
ABI2	BMX
ABI2	BRD4
ABI2	BTK
ABI2	C9ORF96
ABI2	CAMK1D
ABI2	CAMK2D
ABI2	CAMKK1
ABI2	CCDC53
ABI2	CCL2
ABI2	CDK10
ABI2	CDK3
ABI2	CDK4
ABI2	CDK5
ABI2	CDK5R1
ABI2	CDKL5
ABI2	CHEK1
ABI2	CLK1
ABI2	CPNE3
ABI2	CSK
ABI2	CSNK1D
ABI2	CSNK1E
ABI2	CSNK1G1
ABI2	CSNK1G2
ABI2	CSNK1G3
ABI2	CSNK2A2
ABI2	DDR1
ABI2	DDR2
ABI2	DUSP21
ABI2	DYRK1B
ABI2	DYRK2
ABI2	DYRK4
ABI2	EEF2K
ABI2	EFNB3
ABI2	EGR1
ABI2	EIF2AK1
ABI2	EPHA3
ABI2	EPHA4
ABI2	EPHA7
ABI2	FASTK
